cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	pairs_higher	pairs_lower	pairs_equal	higher_fraction	lower_fraction	n_both_author_available	n_pairs_with_at_least_one_author_missing	old_hedges_g	old_p	old_q	old_n_tumor	old_n_normal	old_design	median_paired_difference	w_positive	w_negative	paired_rank_biserial	seed	nonzero_pairs	normal_approximation_warning	same_mean_direction_as_old_g	pairs_in_old_direction	fraction_in_old_direction
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C04555	dehydroisoandrosterone sulfate (DHEA-S)	NA	author_paired_case	23	23	mean_paired_difference_author_scale	-1.0584663743697265	-1.8827874350204816	-0.16702986319319316	0.019978898649974472	0.04876205772197159	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	5	18	0	0.21739130434782608	0.782608695652174	23	22	-0.140305426581646	0.388840299509725	0.470701415195983	61	47	Unpaired; author supplied processed values; no new transformation	-1.1250670340749007	61.0	215.0	-0.5579710144927537	1428714224.0	23	False	True	18	0.782608695652174
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C01181	deoxycarnitine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	0.679794362181567	0.2774649044504446	1.1041961617608993	0.0049449162872665636	0.010770434105142241	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	30	15	0	0.6666666666666666	0.3333333333333333	41	4	0.819660995208735	1.90318149201155e-05	7.66030550534651e-05	61	47	Unpaired; author supplied processed values; no new transformation	0.6355583762554993	767.0	268.0	0.4821256038647343	2847432709.0	45	False	True	30	0.6666666666666666
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C01181	deoxycarnitine	NA	author_paired_case	41	41	mean_paired_difference_author_scale	0.5783333137265051	0.15939344369156488	1.0067547777375525	0.010686185497811102	0.03172805591102677	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	27	14	0	0.6585365853658537	0.34146341463414637	41	4	0.819660995208735	1.90318149201155e-05	7.66030550534651e-05	61	47	Unpaired; author supplied processed values; no new transformation	0.6103609604433018	628.0	233.0	0.45876887340301975	97070408.0	41	False	True	27	0.6585365853658537
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C16525	dihomo-linoleate (20:2n6)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.2981088145283601	0.9047959645969902	1.689292211936742	6.816406293507164e-07	1.0321986673025135e-05	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	39	6	0	0.8666666666666667	0.13333333333333333	45	0	1.22945104406874	2.36043309258177e-08	2.92330559927434e-07	61	47	Unpaired; author supplied processed values; no new transformation	1.1613118180009998	958.0	77.0	0.851207729468599	3869590876.0	45	False	True	39	0.8666666666666667
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C16525	dihomo-linoleate (20:2n6)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.2981088145283601	0.9097692909535718	1.6854093382698143	6.816406293507164e-07	1.1547794191353313e-05	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	39	6	0	0.8666666666666667	0.13333333333333333	45	0	1.22945104406874	2.36043309258177e-08	2.92330559927434e-07	61	47	Unpaired; author supplied processed values; no new transformation	1.1613118180009998	958.0	77.0	0.851207729468599	2251655598.0	45	False	True	39	0.8666666666666667
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C03242	dihomo-linolenate (20:3n3 or n6)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.491170120850204	1.0973698152213631	1.8960365783812438	1.354707083131249e-07	3.2997063288941555e-06	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	40	5	0	0.8888888888888888	0.1111111111111111	45	0	1.2453053065673	1.42780515231872e-08	1.91563857936095e-07	61	47	Unpaired; author supplied processed values; no new transformation	1.3948700019131977	985.0	50.0	0.9033816425120773	1166122004.0	45	False	True	40	0.8888888888888888
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C03242	dihomo-linolenate (20:3n3 or n6)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.491170120850204	1.1105521335173358	1.9014047691579627	1.354707083131249e-07	4.335062666019997e-06	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	40	5	0	0.8888888888888888	0.1111111111111111	45	0	1.2453053065673	1.42780515231872e-08	1.91563857936095e-07	61	47	Unpaired; author supplied processed values; no new transformation	1.3948700019131977	985.0	50.0	0.9033816425120773	3762289867.0	45	False	True	40	0.8888888888888888
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C03626	dimethylarginine (SDMA + ADMA)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.1286623237842577	0.8545250762067917	1.389063173527293	1.5316669539903075e-07	3.2997063288941555e-06	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	40	5	0	0.8888888888888888	0.1111111111111111	43	2	1.50253905483126	1.30932772892938e-10	4.2160352871525906e-09	61	47	Unpaired; author supplied processed values; no new transformation	1.1095829440179017	983.0	52.0	0.8995169082125604	2636825348.0	45	False	True	40	0.8888888888888888
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C03626	dimethylarginine (SDMA + ADMA)	NA	author_paired_case	43	43	mean_paired_difference_author_scale	1.0561613015956834	0.7714193203520469	1.3192647362382517	3.823983015443701e-07	7.938023429987984e-06	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	38	5	0	0.8837209302325582	0.11627906976744186	43	2	1.50253905483126	1.30932772892938e-10	4.2160352871525906e-09	61	47	Unpaired; author supplied processed values; no new transformation	1.0927766154332978	894.0	52.0	0.8900634249471459	1363047192.0	43	False	True	38	0.8837209302325582
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C16533	docosadienoate (22:2n6)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.399748598256564	1.001796455520621	1.7898628818259577	3.5677076665929006e-07	6.302950210980791e-06	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	38	7	0	0.8444444444444444	0.15555555555555556	31	14	1.14250638638243	8.85727608853462e-08	8.42026335505837e-07	61	47	Unpaired; author supplied processed values; no new transformation	1.2204460951748999	969.0	66.0	0.8724637681159421	3454272065.0	45	False	True	38	0.8444444444444444
