cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	partition	celltype	n_source_labels_total	n_source_labels_eligible	n_cells_total	n_cells_eligible	mean_detection_fraction	median_donor_mean	q25	q75	annotation_origin	normalization	bootstrap_first_frequency	row_scaled
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL2B	author_source_label	4	21	equal_donor_mean_cellwise_log1p10k	0.0427113382678458	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q6P1Q9	primary_tumor	Acinar	8	4	294	281	0.0786190738299752	0.0431732351916361	0.0127676054229425	0.0731169680365394	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0	0.2706057162532968
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL2B	author_source_label	17	21	equal_donor_mean_cellwise_log1p10k	0.0769896251063599	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q6P1Q9	primary_tumor	B/Plasma	21	17	2440	2401	0.0970828559850634	0.0820267602276923	0.0544492189641642	0.097197443804618	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0	0.48778224918472224
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL2B	author_source_label	4	21	equal_donor_mean_cellwise_log1p10k	0.1162009567606007	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q6P1Q9	primary_tumor	Endothelial	13	4	494	440	0.2049975312547936	0.1199411060041606	0.1013853763866152	0.1347566863781462	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0	0.7362130152965276
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL2B	author_source_label	18	21	equal_donor_mean_cellwise_log1p10k	0.1578360533517571	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q6P1Q9	primary_tumor	Ductal (unresolved)	21	18	8598	8585	0.4261337089359431	0.1612330886448504	0.1330612268887916	0.1859005793622956	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	1.0	1.0
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL2B	author_source_label	11	21	equal_donor_mean_cellwise_log1p10k	0.0930211198799842	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q6P1Q9	primary_tumor	Fibroblast/CAF	20	11	1151	1084	0.2392431207066492	0.0875358262474095	0.0664188310312012	0.1262394384102909	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0	0.5893527993422084
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL2B	author_source_label	20	21	equal_donor_mean_cellwise_log1p10k	0.0720551147720685	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q6P1Q9	primary_tumor	Myeloid	21	20	9381	9363	0.1310567128804111	0.0738697156629266	0.0548960091195936	0.0887068006196052	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0	0.4565187309358578
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL2B	author_source_label	20	21	equal_donor_mean_cellwise_log1p10k	0.0771514996812037	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q6P1Q9	primary_tumor	T/NK	21	20	23790	23783	0.0769769320272374	0.0730111892990798	0.0598162394902251	0.0984338927250527	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0	0.48880783599715383
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL3	author_source_label	4	21	equal_donor_mean_cellwise_log1p10k	0.0484296229440757	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q86U44	primary_tumor	Acinar	8	4	294	281	0.0961243634740707	0.0416805600708052	0.0401775296373639	0.0499326533775169	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0	0.40026811814998675
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL3	author_source_label	17	21	equal_donor_mean_cellwise_log1p10k	0.038844415771643	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q86U44	primary_tumor	B/Plasma	21	17	2440	2401	0.0592424078970655	0.0378440941643661	0.0223755383675523	0.0483954066970834	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0	0.3210469183190944
PDAC	GSE263733	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	METTL3	author_source_label	4	21	equal_donor_mean_cellwise_log1p10k	0.1209929563411502	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE263733	UniProtKB:Q86U44	primary_tumor	Endothelial	13	4	494	440	0.1772043737536432	0.1052677902458401	0.0909353436541521	0.1353254029328382	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.589	1.0
