gene	cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	expression_platform	expression_scale	n_pairs_total	n_pairs_used	n_up	n_down	n_equal	up_fraction	mean_delta	median_delta	model_formula	p_method	ci_method	bootstrap_mean_lower	bootstrap_mean_upper	probe_mapping_status	current_pool	history_only	family_n_planned	evidence_tier	seed	bootstrap_B	rna_label	bootstrap_valid	t_statistic	df	positive_pairs	negative_pairs	equal_pairs
ABAT	PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T120300Z_sop_v3_internal	PDAC_CAMP_source_SOP_v3	paired_RNA_t	NA	NA	author_case_pair	11	11	paired_mean_T_minus_N_author_microarray_scale	-1.0301994819100253	-1.588802172717621	-0.4715967911024297	0.002113147965917642	0.03196394032729751	RNA_PAIRED_CURRENT	247.0	DONE	Paired t on author continuous scale	GSE62452_author_processed_RNA	UniProtKB:P80404	Affymetrix_Human_Gene_1.0_ST	author_processed_continuous_no_added_transform	11	11	1	10	0	0.09090909090909091	-1.0301994819100253	-1.0829247564459097	paired_T_minus_N	paired_t	Student_t_df_n_minus1_for_mean_delta	-1.5475756547070882	-0.5904295938820838	EXACT_CANONICAL	True	False	250.0	FDR_SUPPORTED	2744994736	4000	ABAT	4000	-4.109230994930012	10.0	1	10	0
AASS	PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T120300Z_sop_v3_internal	PDAC_CAMP_source_SOP_v3	paired_RNA_t	NA	NA	author_case_pair	11	11	paired_mean_T_minus_N_author_microarray_scale	-0.5993745209815109	-1.207122376912408	0.00837333494938608	0.052668736697907476	0.13693871541455943	RNA_PAIRED_CURRENT	247.0	DONE	Paired t on author continuous scale	GSE62452_author_processed_RNA	UniProtKB:Q9UDR5	Affymetrix_Human_Gene_1.0_ST	author_processed_continuous_no_added_transform	11	11	3	8	0	0.2727272727272727	-0.5993745209815109	-0.2993279526390298	paired_T_minus_N	paired_t	Student_t_df_n_minus1_for_mean_delta	-1.1199531814191472	-0.1317648638874958	EXACT_CANONICAL	True	False	250.0	NOT_SUPPORTED_THIS_TEST	675376110	4000	AASS	4000	-2.1974403431357037	10.0	3	8	0
MGLL	PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T120300Z_sop_v3_internal	PDAC_CAMP_source_SOP_v3	paired_RNA_t	NA	NA	author_case_pair	11	11	paired_mean_T_minus_N_author_microarray_scale	0.705331767947608	0.28220080063060843	1.1284627352646075	0.004013686213812628	0.038130019031219965	RNA_PAIRED_CURRENT	247.0	DONE	Paired t on author continuous scale	GSE62452_author_processed_RNA	UniProtKB:Q99685	Affymetrix_Human_Gene_1.0_ST	author_processed_continuous_no_added_transform	11	11	10	1	0	0.9090909090909091	0.705331767947608	0.5938518112208193	paired_T_minus_N	paired_t	Student_t_df_n_minus1_for_mean_delta	0.35990973968453055	1.0662382557077033	EXACT_CANONICAL	True	False	250.0	FDR_SUPPORTED	500549207	4000	MGLL	4000	3.714162368342556	10.0	10	1	0
SLC6A19	PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T120300Z_sop_v3_internal	PDAC_CAMP_source_SOP_v3	paired_RNA_t	NA	NA	author_case_pair	11	11	paired_mean_T_minus_N_author_microarray_scale	-0.5306640134037163	-0.8606507306004747	-0.2006772962069578	0.004985497813602813	0.04246268827447913	RNA_PAIRED_CURRENT	247.0	DONE	Paired t on author continuous scale	GSE62452_author_processed_RNA	UniProtKB:Q695T7	Affymetrix_Human_Gene_1.0_ST	author_processed_continuous_no_added_transform	11	11	1	10	0	0.09090909090909091	-0.5306640134037163	-0.33981304861223993	paired_T_minus_N	paired_t	Student_t_df_n_minus1_for_mean_delta	-0.818854651717414	-0.26734004911256837	EXACT_CANONICAL	True	False	250.0	FDR_SUPPORTED	2051717668	4000	SLC6A19	4000	-3.583153636149079	10.0	1	10	0
TDO2	PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T120300Z_sop_v3_internal	PDAC_CAMP_source_SOP_v3	paired_RNA_t	NA	NA	author_case_pair	11	11	paired_mean_T_minus_N_author_microarray_scale	0.6948316495132391	0.26671360748116874	1.1229496915453094	0.0047189317381745605	0.04246268827447913	RNA_PAIRED_CURRENT	247.0	DONE	Paired t on author continuous scale	GSE62452_author_processed_RNA	UniProtKB:P48775	Affymetrix_Human_Gene_1.0_ST	author_processed_continuous_no_added_transform	11	11	9	2	0	0.8181818181818182	0.6948316495132391	0.5513347026850401	paired_T_minus_N	paired_t	Student_t_df_n_minus1_for_mean_delta	0.3402384874642605	1.0613630956764548	EXACT_CANONICAL	True	False	250.0	FDR_SUPPORTED	686741564	4000	TDO2	4000	3.6162488889906648	10.0	9	2	0
