cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	group	n_donors	detected_cells	detection_fraction	mean_CP10K	median_log1p_CP10K	q75_log1p_CP10K	q90_log1p_CP10K	positive_cell_mean_log1p_CP10K
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T144645Z_asns_cell_pooled_v1	COAD_ASNS_cell_pooled_v1	cell_weighted_expression_description	NA	NA	ASNS	cell	4477	NA	cell_equal_mean_log1p_CP10K	0.21852752862716845	NA	NA	NA	NA	NA	NA	DONE	DESCRIPTIVE_ONLY;CNN_NOT_PROVEN_NONMALIGNANT	Uhlitz author CNA calls;prior admission unchanged	tumor_CNA	9	1038	0.23185168639714093	0.4466113694390732	0.0	0.0	0.9356617473260641	0.9425315468823056
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T144645Z_asns_cell_pooled_v1	COAD_ASNS_cell_pooled_v1	cell_weighted_expression_description	NA	NA	ASNS	cell	7885	NA	cell_equal_mean_log1p_CP10K	0.08587905187795834	NA	NA	NA	NA	NA	NA	DONE	DESCRIPTIVE_ONLY;CNN_NOT_PROVEN_NONMALIGNANT	Uhlitz author CNA calls;prior admission unchanged	tumor_CNN	11	600	0.07609384908053266	0.20645547981773135	0.0	0.0	0.0	1.1285938734295027
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T144645Z_asns_cell_pooled_v1	COAD_ASNS_cell_pooled_v1	cell_weighted_expression_description	NA	NA	ASNS	cell	16138	NA	cell_equal_mean_log1p_CP10K	0.07923121892990669	NA	NA	NA	NA	NA	NA	DONE	DESCRIPTIVE_ONLY;CNN_NOT_PROVEN_NONMALIGNANT	Uhlitz author CNA calls;prior admission unchanged	normal_reference	10	1051	0.06512579006072623	0.19807300665872996	0.0	0.0	0.0	1.2165874510854748
