gene	entrez_id	n_unambiguous_probes	probe_ids	status	reason
IDNK	414328	2	227865_at;239086_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
IMPA1	3612	1	203011_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
IMPA2	3613	1	203126_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
KHK	3795	2	205175_s_at;211028_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
KMO	8564	3	205306_x_at;205307_s_at;211138_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
KYNU	8942	4	204385_at;210662_at;210663_s_at;217388_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
LDHA	3939	1	200650_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
LDHB	3945	2	201030_x_at;213564_x_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
MAT1A	4143	1	205813_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
MAT2A	4144	2	200768_s_at;200769_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
MDH1	4190	1	200978_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
MDH2	4191	2	209036_s_at;213333_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
MGAM	8972	1	206522_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
MPI	4351	2	202472_at;230524_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
NAGK	55577	1	218231_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
NAMPT	10135	4	1555167_s_at;217738_at;217739_s_at;243296_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
NNMT	4837	1	231559_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
NPL	80896	4	221210_s_at;223405_at;240440_at;243066_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
OAT	4942	1	201599_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
ODC1	4953	1	200790_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
OTC	5009	1	207200_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PAH	5053	0		NOT_EVALUABLE	no_unique_Entrez_probes
PANK1	53354	1	226649_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PANK2	80025	6	218809_at;228735_s_at;228965_s_at;228966_at;235130_at;238856_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PANK3	79646	2	218433_at;221751_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PCYT1A	5130	3	204209_at;204210_s_at;225069_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PCYT1B	9468	3	206751_s_at;210456_at;232553_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
