cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	external_feature_id
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C02838	octanoylcarnitine (C8)	CRAT	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C02838|CRAT	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C02838	octanoylcarnitine (C8)	CROT	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C02838|CROT	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C02862	butyrylcarnitine	CRAT	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C02862|CRAT	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C02918	1-methylnicotinamide	AOX1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C02918|AOX1	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C02918	1-methylnicotinamide	NNMT	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C02918|NNMT	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C02990	palmitoylcarnitine	CPT1A	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C02990|CPT1A	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C02990	palmitoylcarnitine	CPT1B	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C02990|CPT1B	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C02990	palmitoylcarnitine	CPT2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C02990|CPT2	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C04006	inositol 1-phosphate (I1P)	IMPA1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C04006|IMPA1	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C04006	inositol 1-phosphate (I1P)	IMPA2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C04006|IMPA2	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C05282	gamma-glutamylglutamate	FOLH1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C05282|FOLH1	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C05345	fructose-6-phosphate	GPI	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C05345|GPI	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C05345	fructose-6-phosphate	MPI	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C05345|MPI	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C05345	fructose-6-phosphate	PFKL	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C05345|PFKL	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C05345	fructose-6-phosphate	PFKM	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C05345|PFKM	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C05345	fructose-6-phosphate	PFKP	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C05345|PFKP	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C12270	N-acetyl-aspartyl-glutamate (NAAG)	FOLH1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C12270|FOLH1	NA
