human_gene_id	gene	direct_relations	metabolites	legacy_RNA_status	prior_35gene_scRNA_panel	current_RNA_analysis	current_scRNA_analysis
hsa:57818	G6PC2	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:5831	PYCR1	1	proline	DONE	False	NOT_RUN	NOT_RUN
hsa:58472	SQOR	1	glutathione, reduced (GSH)	DONE	False	NOT_RUN	NOT_RUN
hsa:5859	QARS1	1	glutamine	DONE	False	NOT_RUN	NOT_RUN
hsa:586	BCAT1	3	4-methyl-2-oxopentanoate;isoleucine;leucine	DONE	False	NOT_RUN	NOT_RUN
hsa:587	BCAT2	3	4-methyl-2-oxopentanoate;isoleucine;leucine	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:622	BDH1	1	3-hydroxybutyrate (BHBA)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:635	BHMT	1	betaine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:6389	SDHA	1	succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:6390	SDHB	1	succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:64064	OXCT2	1	succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:64078	SLC28A3	4	adenosine;guanosine;inosine;uridine	DONE	False	NOT_RUN	NOT_RUN
hsa:646625	URAD	1	allantoin	DONE	False	NOT_RUN	NOT_RUN
hsa:6470	SHMT1	1	threonine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:6476	SI	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:64841	GNPNAT1	1	N-acetylglucosamine 6-phosphate	DONE	False	NOT_RUN	NOT_RUN
hsa:64849	SLC13A3	2	N-acetylaspartate (NAA);succinate	DONE	False	NOT_RUN	NOT_RUN
hsa:64902	AGXT2	1	beta-alanine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:6509	SLC1A4	3	asparagine;proline;threonine	DONE	False	NOT_RUN	NOT_RUN
hsa:6510	SLC1A5	3	asparagine;glutamine;threonine	DONE	False	NOT_RUN	NOT_RUN
hsa:6513	SLC2A1	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:6514	SLC2A2	2	glucose;urate	DONE	False	NOT_RUN	NOT_RUN
hsa:6515	SLC2A3	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:6517	SLC2A4	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:6523	SLC5A1	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:6524	SLC5A2	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:65263	PYCR3	1	proline	DONE	False	NOT_RUN	NOT_RUN
hsa:6529	SLC6A1	1	hypotaurine	DONE	False	NOT_RUN	NOT_RUN
hsa:6532	SLC6A4	1	serotonin (5HT)	DONE	False	NOT_RUN	NOT_RUN
hsa:6533	SLC6A6	3	beta-alanine;hypotaurine;taurine	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:6534	SLC6A7	1	proline	DONE	False	NOT_RUN	NOT_RUN
hsa:6535	SLC6A8	1	creatine	DONE	False	NOT_RUN	NOT_RUN
hsa:653689	GSTT2B	1	glutathione, reduced (GSH)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:6538	SLC6A11	3	beta-alanine;hypotaurine;taurine	DONE	False	NOT_RUN	NOT_RUN
hsa:6539	SLC6A12	1	betaine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:6540	SLC6A13	3	beta-alanine;hypotaurine;taurine	DONE	False	NOT_RUN	NOT_RUN
hsa:6563	SLC14A1	1	urea	DONE	False	NOT_RUN	NOT_RUN
hsa:6564	SLC15A1	1	carnosine	DONE	False	NOT_RUN	NOT_RUN
hsa:6565	SLC15A2	1	carnosine	DONE	False	NOT_RUN	NOT_RUN
hsa:6566	SLC16A1	3	3-hydroxybutyrate (BHBA);4-methyl-2-oxopentanoate;succinate	DONE	False	NOT_RUN	NOT_RUN
hsa:6568	SLC17A1	1	urate	DONE	False	NOT_RUN	NOT_RUN
hsa:6570	SLC18A1	1	serotonin (5HT)	DONE	False	NOT_RUN	NOT_RUN
hsa:6571	SLC18A2	2	histamine;serotonin (5HT)	DONE	False	NOT_RUN	NOT_RUN
hsa:6572	SLC18A3	2	acetylcholine;serotonin (5HT)	DONE	False	NOT_RUN	NOT_RUN
hsa:6576	SLC25A1	4	cis-aconitate;citrate;phosphoenolpyruvate (PEP);succinate	DONE	False	NOT_RUN	NOT_RUN
hsa:6580	SLC22A1	5	1-methylnicotinamide;acetylcholine;histamine;serotonin (5HT);spermidine	DONE	False	NOT_RUN	NOT_RUN
hsa:6581	SLC22A3	3	histamine;serotonin (5HT);spermidine	DONE	False	NOT_RUN	NOT_RUN
hsa:6582	SLC22A2	6	1-methylnicotinamide;acetylcholine;creatinine;histamine;serotonin (5HT);spermidine	DONE	False	NOT_RUN	NOT_RUN
hsa:6583	SLC22A4	2	acetylcholine;betaine	DONE	False	NOT_RUN	NOT_RUN
hsa:6584	SLC22A5	1	betaine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:66035	SLC2A11	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:6611	SMS	2	5-methylthioadenosine (MTA);spermidine	DONE	False	NOT_RUN	NOT_RUN
hsa:6675	UAP1	2	N-Acetylglucosamine 1-phosphate;UDP-N-acetylglucosamine	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:669	BPGM	2	2-phosphoglycerate;3PG	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:6723	SRM	2	5-methylthioadenosine (MTA);spermidine	DONE	False	NOT_RUN	NOT_RUN
hsa:6897	TARS1	1	threonine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:6898	TAT	1	tyrosine	DONE	False	NOT_RUN	NOT_RUN
hsa:7054	TH	1	tyrosine	DONE	False	NOT_RUN	NOT_RUN
hsa:7167	TPI1	1	dihydroxyacetone phosphate (DHAP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7172	TPMT	2	S-adenosylhomocysteine (SAH);S-adenosylmethionine (SAM)	DONE	False	NOT_RUN	NOT_RUN
hsa:7299	TYR	1	tyrosine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:730249	ACOD1	1	cis-aconitate	DONE	False	NOT_RUN	NOT_RUN
hsa:7351	UCP2	1	malonate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:7355	SLC35A2	4	UDP-N-acetylglucosamine;UDP-glucose;cytidine 5'-monophosphate (5'-CMP);uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7357	UGCG	2	UDP-glucose;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7358	UGDH	2	UDP-glucose;UDP-glucuronate	DONE	False	NOT_RUN	NOT_RUN
hsa:7360	UGP2	1	UDP-glucose	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:7363	UGT2B4	2	UDP-glucuronate;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7364	UGT2B7	3	UDP-glucose;UDP-glucuronate;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7365	UGT2B10	2	UDP-glucuronate;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7366	UGT2B15	2	UDP-glucuronate;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7367	UGT2B17	2	UDP-glucuronate;uridine 5'-diphosphate (UDP)	NOT_EVALUABLE	False	NOT_RUN	NOT_RUN
hsa:7368	UGT8	1	uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7371	UCK2	3	cytidine 5'-monophosphate (5'-CMP);uridine;uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:7372	UMPS	1	uridine 5'-monophosphate (UMP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:7378	UPP1	2	uracil;uridine	DONE	False	NOT_RUN	NOT_RUN
hsa:7416	VDAC1	1	acetylcholine	DONE	False	NOT_RUN	NOT_RUN
hsa:7498	XDH	3	hypoxanthine;urate;xanthine	DONE	False	NOT_RUN	NOT_RUN
hsa:790	CAD	1	glutamine	DONE	False	NOT_RUN	NOT_RUN
hsa:79017	GGCT	1	5-oxoproline	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:79094	CHAC1	2	5-oxoproline;glutathione, reduced (GSH)	DONE	False	NOT_RUN	NOT_RUN
hsa:7915	ALDH5A1	1	succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:79369	B3GNT4	2	UDP-N-acetylglucosamine;uridine 5'-diphosphate (UDP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:79646	PANK3	1	pantothenate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:79693	YRDC	1	threonine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:79731	NARS2	1	asparagine	DONE	False	NOT_RUN	NOT_RUN
hsa:79783	SUGCT	2	3-hydroxy-3-methylglutarate;succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:79799	UGT2A3	2	UDP-glucuronate;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:79814	AGMAT	3	beta-alanine;taurine;urea	DONE	False	NOT_RUN	NOT_RUN
hsa:80025	PANK2	1	pantothenate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:80131	LRRC8E	1	taurine	DONE	False	NOT_RUN	NOT_RUN
hsa:80146	UXS1	1	UDP-glucuronate	DONE	False	NOT_RUN	NOT_RUN
hsa:80150	ASRGL1	1	asparagine	DONE	False	NOT_RUN	NOT_RUN
hsa:80201	HKDC1	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:80222	TARS2	1	threonine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:81031	SLC2A10	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:8140	SLC7A5	6	glutamine;isoleucine;kynurenine;leucine;phenylalanine;tyrosine	DONE	False	NOT_RUN	NOT_RUN
hsa:81539	SLC38A1	4	asparagine;glutamine;proline;threonine	DONE	False	NOT_RUN	NOT_RUN
hsa:81544	GDPD5	1	glycerophosphorylcholine (GPC)	DONE	False	NOT_RUN	NOT_RUN
hsa:8170	SLC14A2	1	urea	DONE	False	NOT_RUN	NOT_RUN
hsa:83440	ADPGK	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:83549	UCK1	3	cytidine 5'-monophosphate (5'-CMP);uridine;uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:8402	SLC25A11	2	malonate;succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:84230	LRRC8C	1	taurine	DONE	False	NOT_RUN	NOT_RUN
hsa:8424	BBOX1	2	deoxycarnitine;succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:84274	COQ5	2	S-adenosylhomocysteine (SAH);S-adenosylmethionine (SAM)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:84275	SLC25A33	2	guanosine 5'- diphosphate (GDP);uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:8443	GNPAT	1	dihydroxyacetone phosphate (DHAP)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:84618	NT5C1A	3	adenosine;inosine;inosine 5'-monophosphate (IMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:84735	CNDP1	2	beta-alanine;carnosine	DONE	False	NOT_RUN	NOT_RUN
hsa:84890	ADO	1	hypotaurine	DONE	False	NOT_RUN	NOT_RUN
hsa:84912	SLC35B4	2	UDP-N-acetylglucosamine;UDP-glucuronate	DONE	False	NOT_RUN	NOT_RUN
hsa:8501	SLC43A1	3	isoleucine;leucine;phenylalanine	DONE	False	NOT_RUN	NOT_RUN
hsa:85019	SLC35D4	2	UDP-N-acetylglucosamine;uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:85413	SLC22A16	1	spermidine	DONE	False	NOT_RUN	NOT_RUN
hsa:85465	SELENOI	1	cytidine 5'-monophosphate (5'-CMP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8564	KMO	1	kynurenine	DONE	False	NOT_RUN	NOT_RUN
hsa:8565	YARS1	1	tyrosine	DONE	False	NOT_RUN	NOT_RUN
hsa:8623	ASMTL	2	cytidine 5'-monophosphate (5'-CMP);uridine 5'-monophosphate (UMP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8702	B4GALT4	1	uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:8704	B4GALT2	2	glucose;uridine 5'-diphosphate (UDP)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:8801	SUCLG2	2	guanosine 5'- diphosphate (GDP);succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8802	SUCLG1	2	guanosine 5'- diphosphate (GDP);succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8803	SUCLA2	1	succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8813	DPM1	1	guanosine 5'- diphosphate (GDP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:883	KYAT1	3	glutamine;kynurenine;phenylalanine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8833	GMPS	1	glutamine	DONE	False	NOT_RUN	NOT_RUN
hsa:8875	VNN2	1	pantothenate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8876	VNN1	1	pantothenate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8884	SLC5A6	1	pantothenate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:8908	GYG2	2	UDP-glucose;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:8942	KYNU	1	kynurenine	DONE	False	NOT_RUN	NOT_RUN
hsa:8972	MGAM	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:89872	AQP10	1	urea	DONE	False	NOT_RUN	NOT_RUN
hsa:89874	SLC25A21	1	citrate	DONE	False	NOT_RUN	NOT_RUN
hsa:9016	SLC25A14	3	citrate;malonate;succinate	DONE	False	NOT_RUN	NOT_RUN
hsa:9056	SLC7A7	1	leucine	DONE	False	NOT_RUN	NOT_RUN
hsa:9057	SLC7A6	2	glutamine;leucine	DONE	False	NOT_RUN	NOT_RUN
hsa:9058	SLC13A2	2	citrate;succinate	DONE	False	NOT_RUN	NOT_RUN
hsa:9104	RGN	1	gluconate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:9120	SLC16A6	1	taurine	DONE	False	NOT_RUN	NOT_RUN
