cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	rna_symbol	relation_id	family_n_planned	reused_from	n_up	n_down	n_equal	median_difference	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_valid	random_seed	proportion_up	proportion_down
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC6A15	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.44438951575589725	-0.7562599633084113	-0.13251906820338316	0.006652105429673361	0.011269191764084805	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:55117	SLC6A15	COAD|NA|NA|hsa:55117	526	NA	11.0	22.0	0.0	-0.4163343038973002	-0.7465092754785438	-0.14556910742467663	4000.0	1123672463.0	0.3333333333333333	0.6666666666666666
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC1A4	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	0.8450939980821481	0.6242611999210044	1.065926796243292	6.851305599462156e-09	5.090186719719882e-08	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6509	SLC1A4	COAD|NA|NA|hsa:6509	526	NA	31.0	2.0	0.0	0.7707418911220003	0.6456013752559454	1.0616314724274352	4000.0	2040467714.0	0.9393939393939394	0.06060606060606061
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC1A5	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	0.9871187462972814	0.6482481468115204	1.3259893457830423	1.3158663872212633e-06	5.0572476822309745e-06	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6510	SLC1A5	COAD|NA|NA|hsa:6510	526	NA	28.0	5.0	0.0	1.0897259315561012	0.6884371193667018	1.3212837765859262	4000.0	1300370246.0	0.8484848484848485	0.15151515151515152
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	NARS2	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	0.8884155376547059	0.6781939418774843	1.0986371334319276	7.751146306519821e-10	9.283349646180716e-09	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:79731	NARS2	COAD|NA|NA|hsa:79731	526	NA	31.0	2.0	0.0	0.876768711066191	0.680668522236066	1.084514795961733	4000.0	129181156.0	0.9393939393939394	0.06060606060606061
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	ASRGL1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.39489420901054534	-0.7439950748821303	-0.04579334313896033	0.02785847713691454	0.04052857549579375	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:80150	ASRGL1	COAD|NA|NA|hsa:80150	526	NA	12.0	21.0	0.0	-0.33664927634369946	-0.7351409497847662	-0.07270691649336991	4000.0	2017808871.0	0.36363636363636365	0.6363636363636364
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	ABHD3	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-2.2206971080042504	-2.663372509896858	-1.7780217061116426	1.3329370931940458e-11	3.12028455906788e-10	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:171586	ABHD3	COAD|NA|NA|hsa:171586	526	NA	1.0	32.0	0.0	-2.343977191193801	-2.6411442873028457	-1.8074223134656415	4000.0	3057134104.0	0.030303030303030304	0.9696969696969697
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC32A1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.8326444629058612	-1.250319442011072	-0.4149694838006506	0.00029524863743106227	0.0007039492975786901	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:140679	SLC32A1	COAD|NA|NA|hsa:140679	526	NA	7.0	26.0	0.0	-0.8984502328078703	-1.223082790452011	-0.4327870656073846	4000.0	1829335914.0	0.21212121212121213	0.7878787878787878
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC36A2	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.3325076626231643	-0.5893504378548942	-0.07566488739143445	0.012799861725048552	0.020255310421122167	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:153201	SLC36A2	COAD|NA|NA|hsa:153201	526	NA	11.0	22.0	0.0	-0.3449114128882096	-0.5766464767996172	-0.09605348099999964	4000.0	2409634550.0	0.3333333333333333	0.6666666666666666
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC36A1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-1.8426968199468388	-2.2485987228667903	-1.4367949170268872	1.4842731428630842e-10	2.0115807067749695e-09	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:206358	SLC36A1	COAD|NA|NA|hsa:206358	526	NA	3.0	30.0	0.0	-2.121726309902101	-2.190170504480477	-1.4390787092559507	4000.0	186506308.0	0.09090909090909091	0.9090909090909091
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	GATM	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-1.2003527273544348	-1.7134716488070683	-0.6872338059018012	3.928998607778893e-05	0.00011179194933735524	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2628	GATM	COAD|NA|NA|hsa:2628	526	NA	8.0	25.0	0.0	-1.4444955224992508	-1.699750399500688	-0.7274813178858367	4000.0	180675650.0	0.24242424242424243	0.7575757575757576
