cohort	gene	n_feature_matches	status	reason
Pal2021_reprocessed	ABHD12	1	DONE	
Pal2021_reprocessed	ABHD6	1	DONE	
Pal2021_reprocessed	ACSL1	1	DONE	
Pal2021_reprocessed	ACSL3	1	DONE	
Pal2021_reprocessed	ACSL4	1	DONE	
Pal2021_reprocessed	ACSL5	1	DONE	
Pal2021_reprocessed	ACSL6	1	DONE	
Pal2021_reprocessed	ACSM1	1	DONE	
Pal2021_reprocessed	ALOX15	1	DONE	
Pal2021_reprocessed	ALOX5	1	DONE	
Pal2021_reprocessed	CYP4F2	1	DONE	
Pal2021_reprocessed	ENPP2	1	DONE	
Pal2021_reprocessed	LPCAT1	1	DONE	
Pal2021_reprocessed	LPCAT2	1	DONE	
Pal2021_reprocessed	LPCAT3	1	DONE	
Pal2021_reprocessed	LPCAT4	1	DONE	
Pal2021_reprocessed	LYPLA1	1	DONE	
Pal2021_reprocessed	LYPLA2	1	DONE	
Pal2021_reprocessed	MGLL	1	DONE	
Pal2021_reprocessed	NT5C2	1	DONE	
Pal2021_reprocessed	PTGS1	1	DONE	
Pal2021_reprocessed	PTGS2	1	DONE	
Pal2021_reprocessed	PUDP	1	DONE	
Pal2021_reprocessed	SDHA	1	DONE	
Pal2021_reprocessed	SDHB	1	DONE	
Pal2021_reprocessed	SDHC	1	DONE	
Pal2021_reprocessed	SDHD	1	DONE	
Pal2021_reprocessed	SLC13A3	1	DONE	
Pal2021_reprocessed	SLC22A2	1	DONE	
Pal2021_reprocessed	SLC22A4	1	DONE	
Pal2021_reprocessed	SLC25A10	1	DONE	
Pal2021_reprocessed	SLC25A20	1	DONE	
Pal2021_reprocessed	SLC29A2	1	DONE	
Pal2021_reprocessed	SLC47A1	1	DONE	
Pal2021_reprocessed	SLC47A2	1	DONE	
Pal2021_reprocessed	SLC5A10	1	DONE	
Pal2021_reprocessed	SUCLA2	1	DONE	
Pal2021_reprocessed	SUCLG1	1	DONE	
Pal2021_reprocessed	SUCLG2	1	DONE	
