cancer	gene	stable_gene_id	study_A	study_B	top_A	top_B	n_common_categories	same_top_all_categories	top_A_shared	top_B_shared	same_top_shared_categories	bootstrap_top_A	bootstrap_top_B	same_top_both_bootstrap_ge080	status	reason
PDAC	AADAT	UniProtKB:Q8N5Z0	GSE263733	GSE278688	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.72	0.791	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AADAT	UniProtKB:Q8N5Z0	GSE263733	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	0.72	0.759	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AADAT	UniProtKB:Q8N5Z0	GSE278688	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	0.791	0.759	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AASS	UniProtKB:Q9UDR5	GSE263733	GSE278688	Endothelial	Fibroblast/CAF	6	False	Endothelial	Fibroblast/CAF	False	0.586	0.982	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AASS	UniProtKB:Q9UDR5	GSE263733	GSE242230	Endothelial	Fibroblast/CAF	5	False	Endothelial	Fibroblast/CAF	False	0.586	0.801	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AASS	UniProtKB:Q9UDR5	GSE278688	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	0.982	0.801	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABAT	UniProtKB:P80404	GSE263733	GSE278688	Acinar	T/NK	6	False	Myeloid	T/NK	False	0.788	0.625	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABAT	UniProtKB:P80404	GSE263733	GSE242230	Acinar	Myeloid	5	False	Myeloid	Myeloid	True	0.788	0.473	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABAT	UniProtKB:P80404	GSE278688	GSE242230	T/NK	Myeloid	5	False	T/NK	Myeloid	False	0.625	0.473	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD11	UniProtKB:Q8NFV4	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	1.0	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD11	UniProtKB:Q8NFV4	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Endothelial	Myeloid	False	1.0	0.732	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD11	UniProtKB:Q8NFV4	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Myeloid	Myeloid	True	1.0	0.732	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD12	UniProtKB:Q8N2K0	GSE263733	GSE278688	Myeloid	Myeloid	6	True	Myeloid	Myeloid	True	0.751	0.93	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD12	UniProtKB:Q8N2K0	GSE263733	GSE242230	Myeloid	Normal epithelial (author)	5	False	Myeloid	Myeloid	True	0.751	0.94	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD12	UniProtKB:Q8N2K0	GSE278688	GSE242230	Myeloid	Normal epithelial (author)	5	False	Myeloid	Myeloid	True	0.93	0.94	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD16A	UniProtKB:O95870	GSE263733	GSE278688	Fibroblast/CAF	Myeloid	6	False	Fibroblast/CAF	Myeloid	False	0.366	0.933	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD16A	UniProtKB:O95870	GSE263733	GSE242230	Fibroblast/CAF	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.366	0.958	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD16A	UniProtKB:O95870	GSE278688	GSE242230	Myeloid	Normal epithelial (author)	5	False	Myeloid	Fibroblast/CAF	False	0.933	0.958	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD16B	UniProtKB:Q9H3Z7	GSE263733	GSE278688	NOT_EVALUABLE	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD16B	UniProtKB:Q9H3Z7	GSE263733	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD16B	UniProtKB:Q9H3Z7	GSE278688	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD2	UniProtKB:P08910	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	1.0	0.998	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD2	UniProtKB:P08910	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Myeloid	Myeloid	True	1.0	0.678	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD2	UniProtKB:P08910	GSE278688	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Fibroblast/CAF	Myeloid	False	0.998	0.678	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD6	UniProtKB:Q9BV23	GSE263733	GSE278688	Endothelial	Myeloid	6	False	Endothelial	Myeloid	False	0.393	0.841	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD6	UniProtKB:Q9BV23	GSE263733	GSE242230	Endothelial	Myeloid	5	False	Endothelial	Myeloid	False	0.393	0.948	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ABHD6	UniProtKB:Q9BV23	GSE278688	GSE242230	Myeloid	Myeloid	5	True	Myeloid	Myeloid	True	0.841	0.948	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACAA2	UniProtKB:P42765	GSE263733	GSE278688	Fibroblast/CAF	Ductal (unresolved)	6	False	Fibroblast/CAF	Ductal (unresolved)	False	0.905	0.828	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACAA2	UniProtKB:P42765	GSE263733	GSE242230	Fibroblast/CAF	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.905	0.961	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACAA2	UniProtKB:P42765	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Myeloid	Fibroblast/CAF	False	0.828	0.961	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACE2	UniProtKB:Q9BYF1	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	1.0	0.59	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACE2	UniProtKB:Q9BYF1	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Endothelial	NOT_EVALUABLE	NA	1.0	0.891	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACE2	UniProtKB:Q9BYF1	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	NOT_EVALUABLE	NA	0.59	0.891	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACER2	UniProtKB:Q5QJU3	GSE263733	GSE278688	Endothelial	Ductal (unresolved)	6	False	Endothelial	Ductal (unresolved)	False	0.578	0.502	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACER2	UniProtKB:Q5QJU3	GSE263733	GSE242230	Endothelial	Malignant (author)	5	False	Endothelial	NOT_EVALUABLE	NA	0.578	0.928	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACER2	UniProtKB:Q5QJU3	GSE278688	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Endothelial	NOT_EVALUABLE	NA	0.502	0.928	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACLY	UniProtKB:P53396	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	0.689	0.624	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACLY	UniProtKB:P53396	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Endothelial	Endothelial	True	0.689	0.905	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACLY	UniProtKB:P53396	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Endothelial	Endothelial	True	0.624	0.905	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACO1	UniProtKB:P21399	GSE263733	GSE278688	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.99	0.997	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACO1	UniProtKB:P21399	GSE263733	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	0.99	0.815	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACO1	UniProtKB:P21399	GSE278688	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	0.997	0.815	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT1	UniProtKB:Q86TX2	GSE263733	GSE278688	Acinar	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	0.54	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT1	UniProtKB:Q86TX2	GSE263733	GSE242230	Acinar	Fibroblast/CAF	5	False	NOT_EVALUABLE	Fibroblast/CAF	NA	0.54	0.681	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT1	UniProtKB:Q86TX2	GSE278688	GSE242230	NOT_EVALUABLE	Fibroblast/CAF	5	NA	NOT_EVALUABLE	Fibroblast/CAF	NA	NA	0.681	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT11	UniProtKB:Q8WXI4	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	1.0	0.999	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT11	UniProtKB:Q8WXI4	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Myeloid	Myeloid	True	1.0	0.999	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT11	UniProtKB:Q8WXI4	GSE278688	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Myeloid	Myeloid	True	0.999	0.999	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT13	UniProtKB:Q9NPJ3	GSE263733	GSE278688	Ductal (unresolved)	Myeloid	6	False	Ductal (unresolved)	Myeloid	False	0.759	0.547	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT13	UniProtKB:Q9NPJ3	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Myeloid	Myeloid	True	0.759	0.96	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT13	UniProtKB:Q9NPJ3	GSE278688	GSE242230	Myeloid	Normal epithelial (author)	5	False	Myeloid	Myeloid	True	0.547	0.96	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT2	UniProtKB:P49753	GSE263733	GSE278688	Endothelial	Fibroblast/CAF	6	False	Endothelial	Fibroblast/CAF	False	0.801	1.0	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT2	UniProtKB:P49753	GSE263733	GSE242230	Endothelial	Fibroblast/CAF	5	False	Endothelial	Fibroblast/CAF	False	0.801	0.515	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT2	UniProtKB:P49753	GSE278688	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	1.0	0.515	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT4	UniProtKB:Q8N9L9	GSE263733	GSE278688	Ductal (unresolved)	T/NK	6	False	Ductal (unresolved)	T/NK	False	0.931	0.969	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT4	UniProtKB:Q8N9L9	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Myeloid	Myeloid	True	0.931	0.558	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT4	UniProtKB:Q8N9L9	GSE278688	GSE242230	T/NK	Malignant (author)	5	False	T/NK	Myeloid	False	0.969	0.558	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT7	UniProtKB:O00154	GSE263733	GSE278688	Ductal (unresolved)	Myeloid	6	False	Ductal (unresolved)	Myeloid	False	0.911	0.801	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT7	UniProtKB:O00154	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Endothelial	Myeloid	False	0.911	0.889	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT7	UniProtKB:O00154	GSE278688	GSE242230	Myeloid	Malignant (author)	5	False	Myeloid	Myeloid	True	0.801	0.889	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT8	UniProtKB:O14734	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	0.999	0.922	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT8	UniProtKB:O14734	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Fibroblast/CAF	Myeloid	False	0.999	0.701	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT8	UniProtKB:O14734	GSE278688	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Endothelial	Myeloid	False	0.922	0.701	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT9	UniProtKB:Q9Y305	GSE263733	GSE278688	Myeloid	Myeloid	6	True	Myeloid	Myeloid	True	1.0	0.771	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT9	UniProtKB:Q9Y305	GSE263733	GSE242230	Myeloid	Myeloid	5	True	Myeloid	Myeloid	True	1.0	0.816	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACOT9	UniProtKB:Q9Y305	GSE278688	GSE242230	Myeloid	Myeloid	5	True	Myeloid	Myeloid	True	0.771	0.816	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSL3	UniProtKB:O95573	GSE263733	GSE278688	Ductal (unresolved)	Myeloid	6	False	Ductal (unresolved)	Myeloid	False	0.959	0.992	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSL3	UniProtKB:O95573	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.959	0.528	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSL3	UniProtKB:O95573	GSE278688	GSE242230	Myeloid	Malignant (author)	5	False	Myeloid	Fibroblast/CAF	False	0.992	0.528	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM1	UniProtKB:Q08AH1	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	0.85	0.826	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM1	UniProtKB:Q08AH1	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	NOT_EVALUABLE	NOT_EVALUABLE	NA	0.85	0.947	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM1	UniProtKB:Q08AH1	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	B/Plasma	NOT_EVALUABLE	NA	0.826	0.947	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM2A	UniProtKB:Q08AH3	GSE263733	GSE278688	Endothelial	NOT_EVALUABLE	6	NA	Endothelial	NOT_EVALUABLE	NA	0.758	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM2A	UniProtKB:Q08AH3	GSE263733	GSE242230	Endothelial	NOT_EVALUABLE	5	NA	Endothelial	NOT_EVALUABLE	NA	0.758	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM2A	UniProtKB:Q08AH3	GSE278688	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM2B	UniProtKB:Q68CK6	GSE263733	GSE278688	Endothelial	NOT_EVALUABLE	6	NA	Endothelial	NOT_EVALUABLE	NA	0.805	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM2B	UniProtKB:Q68CK6	GSE263733	GSE242230	Endothelial	NOT_EVALUABLE	5	NA	Endothelial	NOT_EVALUABLE	NA	0.805	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM2B	UniProtKB:Q68CK6	GSE278688	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM4	UniProtKB:P0C7M7	GSE263733	GSE278688	NOT_EVALUABLE	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM4	UniProtKB:P0C7M7	GSE263733	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACSM4	UniProtKB:P0C7M7	GSE278688	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACY3	UniProtKB:Q96HD9	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	1.0	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACY3	UniProtKB:Q96HD9	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	B/Plasma	NOT_EVALUABLE	NA	1.0	0.927	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ACY3	UniProtKB:Q96HD9	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	B/Plasma	NOT_EVALUABLE	NA	1.0	0.927	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADA	UniProtKB:P00813	GSE263733	GSE278688	T/NK	Endothelial	6	False	T/NK	Endothelial	False	1.0	0.83	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADA	UniProtKB:P00813	GSE263733	GSE242230	T/NK	T/NK	5	True	T/NK	T/NK	True	1.0	0.966	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADA	UniProtKB:P00813	GSE278688	GSE242230	Endothelial	T/NK	5	False	Endothelial	T/NK	False	0.83	0.966	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADA2	UniProtKB:Q9NZK5	GSE263733	GSE278688	Myeloid	Myeloid	6	True	Myeloid	Myeloid	True	1.0	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADA2	UniProtKB:Q9NZK5	GSE263733	GSE242230	Myeloid	Myeloid	5	True	Myeloid	Myeloid	True	1.0	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADA2	UniProtKB:Q9NZK5	GSE278688	GSE242230	Myeloid	Myeloid	5	True	Myeloid	Myeloid	True	1.0	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1A	UniProtKB:P07327	GSE263733	GSE278688	NOT_EVALUABLE	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1A	UniProtKB:P07327	GSE263733	GSE242230	NOT_EVALUABLE	Normal epithelial (author)	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0.922125	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1A	UniProtKB:P07327	GSE278688	GSE242230	NOT_EVALUABLE	Normal epithelial (author)	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0.922125	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1B	UniProtKB:P00325	GSE263733	GSE278688	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	1.0	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1B	UniProtKB:P00325	GSE263733	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	1.0	0.978	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1B	UniProtKB:P00325	GSE278688	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	1.0	0.978	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1C	UniProtKB:P00326	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	0.975	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1C	UniProtKB:P00326	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.975	0.956	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH1C	UniProtKB:P00326	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	1.0	0.956	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH4	UniProtKB:P08319	GSE263733	GSE278688	NOT_EVALUABLE	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ADH4	UniProtKB:P08319	GSE263733	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
