cancer	gene	stable_gene_id	study_A	study_B	top_A	top_B	n_common_categories	same_top_all_categories	top_A_shared	top_B_shared	same_top_shared_categories	bootstrap_top_A	bootstrap_top_B	same_top_both_bootstrap_ge080	status	reason
PDAC	ALDH2	UniProtKB:P05091	GSE263733	GSE242230	Myeloid	Myeloid	5	True	Myeloid	Myeloid	True	0.967	0.838	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH2	UniProtKB:P05091	GSE278688	GSE242230	Myeloid	Myeloid	5	True	Myeloid	Myeloid	True	0.839	0.838	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3A1	UniProtKB:P30838	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	1.0	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3A1	UniProtKB:P30838	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Fibroblast/CAF	NOT_EVALUABLE	NA	1.0	1.0	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3A1	UniProtKB:P30838	GSE278688	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	NOT_EVALUABLE	NOT_EVALUABLE	NA	1.0	1.0	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3A2	UniProtKB:P51648	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	0.974	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3A2	UniProtKB:P51648	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	Myeloid	False	0.974	0.962	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3A2	UniProtKB:P51648	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Myeloid	Myeloid	True	1.0	0.962	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3B1	UniProtKB:P43353	GSE263733	GSE278688	Ductal (unresolved)	Myeloid	6	False	Ductal (unresolved)	Myeloid	False	0.997	0.847	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3B1	UniProtKB:P43353	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	Myeloid	Myeloid	True	0.997	0.345	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH3B1	UniProtKB:P43353	GSE278688	GSE242230	Myeloid	Malignant (author)	5	False	Myeloid	Myeloid	True	0.847	0.345	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH4A1	UniProtKB:P30038	GSE263733	GSE278688	Endothelial	Ductal (unresolved)	6	False	Endothelial	Ductal (unresolved)	False	0.48	0.63	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH4A1	UniProtKB:P30038	GSE263733	GSE242230	Endothelial	Normal epithelial (author)	5	False	Endothelial	Endothelial	True	0.48	0.884	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH4A1	UniProtKB:P30038	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	Endothelial	False	0.63	0.884	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH5A1	UniProtKB:P51649	GSE263733	GSE278688	Ductal (unresolved)	B/Plasma	6	False	Ductal (unresolved)	B/Plasma	False	0.901	0.998	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH5A1	UniProtKB:P51649	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	B/Plasma	False	0.901	0.736	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH5A1	UniProtKB:P51649	GSE278688	GSE242230	B/Plasma	Normal epithelial (author)	5	False	B/Plasma	B/Plasma	True	0.998	0.736	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH6A1	UniProtKB:Q02252	GSE263733	GSE278688	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.49	0.982	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH6A1	UniProtKB:Q02252	GSE263733	GSE242230	Fibroblast/CAF	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.49	0.951	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH6A1	UniProtKB:Q02252	GSE278688	GSE242230	Fibroblast/CAF	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.982	0.951	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH7A1	UniProtKB:P49419	GSE263733	GSE278688	Fibroblast/CAF	Ductal (unresolved)	6	False	Fibroblast/CAF	Ductal (unresolved)	False	0.76	0.669	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH7A1	UniProtKB:P49419	GSE263733	GSE242230	Fibroblast/CAF	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.76	0.957	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH7A1	UniProtKB:P49419	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.669	0.957	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH8A1	UniProtKB:Q9H2A2	GSE263733	GSE278688	Fibroblast/CAF	NOT_EVALUABLE	6	NA	Fibroblast/CAF	NOT_EVALUABLE	NA	0.91	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH8A1	UniProtKB:Q9H2A2	GSE263733	GSE242230	Fibroblast/CAF	NOT_EVALUABLE	5	NA	Fibroblast/CAF	NOT_EVALUABLE	NA	0.91	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH8A1	UniProtKB:Q9H2A2	GSE278688	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH9A1	UniProtKB:P49189	GSE263733	GSE278688	Fibroblast/CAF	Endothelial	6	False	Fibroblast/CAF	Endothelial	False	0.782	1.0	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH9A1	UniProtKB:P49189	GSE263733	GSE242230	Fibroblast/CAF	Normal epithelial (author)	5	False	Fibroblast/CAF	Endothelial	False	0.782	0.93	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALDH9A1	UniProtKB:P49189	GSE278688	GSE242230	Endothelial	Normal epithelial (author)	5	False	Endothelial	Endothelial	True	1.0	0.93	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH1	UniProtKB:Q13686	GSE263733	GSE278688	Fibroblast/CAF	T/NK	6	False	Fibroblast/CAF	T/NK	False	0.512	0.543	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH1	UniProtKB:Q13686	GSE263733	GSE242230	Fibroblast/CAF	Myeloid	5	False	Fibroblast/CAF	Myeloid	False	0.512	0.372	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH1	UniProtKB:Q13686	GSE278688	GSE242230	T/NK	Myeloid	5	False	T/NK	Myeloid	False	0.543	0.372	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH2	UniProtKB:Q6NS38	GSE263733	GSE278688	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.912	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH2	UniProtKB:Q6NS38	GSE263733	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	0.912	0.898	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH2	UniProtKB:Q6NS38	GSE278688	GSE242230	Fibroblast/CAF	Fibroblast/CAF	5	True	Fibroblast/CAF	Fibroblast/CAF	True	1.0	0.898	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH3	UniProtKB:Q96Q83	GSE263733	GSE278688	Acinar	Endothelial	6	False	Fibroblast/CAF	Endothelial	False	0.515	0.785	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH3	UniProtKB:Q96Q83	GSE263733	GSE242230	Acinar	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.515	0.964	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH3	UniProtKB:Q96Q83	GSE278688	GSE242230	Endothelial	Normal epithelial (author)	5	False	Endothelial	Fibroblast/CAF	False	0.785	0.964	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH4	UniProtKB:Q9NXW9	GSE263733	GSE278688	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	1.0	0.963	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH4	UniProtKB:Q9NXW9	GSE263733	GSE242230	Fibroblast/CAF	Endothelial	5	False	Fibroblast/CAF	Endothelial	False	1.0	0.478	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH4	UniProtKB:Q9NXW9	GSE278688	GSE242230	Fibroblast/CAF	Endothelial	5	False	Fibroblast/CAF	Endothelial	False	0.963	0.478	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH5	UniProtKB:Q6P6C2	GSE263733	GSE278688	T/NK	T/NK	6	True	T/NK	T/NK	True	0.73	0.997	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH5	UniProtKB:Q6P6C2	GSE263733	GSE242230	T/NK	Normal epithelial (author)	5	False	T/NK	Fibroblast/CAF	False	0.73	0.643	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH5	UniProtKB:Q6P6C2	GSE278688	GSE242230	T/NK	Normal epithelial (author)	5	False	T/NK	Fibroblast/CAF	False	0.997	0.643	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH7	UniProtKB:Q9BT30	GSE263733	GSE278688	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.908	0.77	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH7	UniProtKB:Q9BT30	GSE263733	GSE242230	Fibroblast/CAF	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.908	0.925	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH7	UniProtKB:Q9BT30	GSE278688	GSE242230	Fibroblast/CAF	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.77	0.925	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH8	UniProtKB:Q96BT7	GSE263733	GSE278688	Fibroblast/CAF	Endothelial	6	False	Fibroblast/CAF	Endothelial	False	0.467	0.957	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH8	UniProtKB:Q96BT7	GSE263733	GSE242230	Fibroblast/CAF	Endothelial	5	False	Fibroblast/CAF	Endothelial	False	0.467	0.309	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ALKBH8	UniProtKB:Q96BT7	GSE278688	GSE242230	Endothelial	Endothelial	5	True	Endothelial	Endothelial	True	0.957	0.309	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ANTKMT	UniProtKB:Q9BQD7	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	1.0	0.996	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ANTKMT	UniProtKB:Q9BQD7	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	Myeloid	False	1.0	0.953	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	ANTKMT	UniProtKB:Q9BQD7	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	Myeloid	False	0.996	0.953	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AOC1	UniProtKB:P19801	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	1.0	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AOC1	UniProtKB:P19801	GSE263733	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	T/NK	NOT_EVALUABLE	NA	1.0	1.0	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AOC1	UniProtKB:P19801	GSE278688	GSE242230	Ductal (unresolved)	Malignant (author)	5	False	NOT_EVALUABLE	NOT_EVALUABLE	NA	1.0	1.0	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP1	UniProtKB:P29972	GSE263733	GSE278688	Endothelial	Endothelial	6	True	Endothelial	Endothelial	True	0.8	1.0	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP1	UniProtKB:P29972	GSE263733	GSE242230	Endothelial	Endothelial	5	True	Endothelial	Endothelial	True	0.8	0.587	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP1	UniProtKB:P29972	GSE278688	GSE242230	Endothelial	Endothelial	5	True	Endothelial	Endothelial	True	1.0	0.587	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP10	UniProtKB:Q96PS8	GSE263733	GSE278688	NOT_EVALUABLE	Myeloid	6	NA	NOT_EVALUABLE	Myeloid	NA	NA	1.0	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP10	UniProtKB:Q96PS8	GSE263733	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP10	UniProtKB:Q96PS8	GSE278688	GSE242230	Myeloid	NOT_EVALUABLE	5	NA	Myeloid	NOT_EVALUABLE	NA	1.0	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP11	UniProtKB:Q8NBQ7	GSE263733	GSE278688	Ductal (unresolved)	Ductal (unresolved)	6	True	Ductal (unresolved)	Ductal (unresolved)	True	0.967	0.873	True	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP11	UniProtKB:Q8NBQ7	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	Fibroblast/CAF	Fibroblast/CAF	True	0.967	0.782	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP11	UniProtKB:Q8NBQ7	GSE278688	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	NOT_EVALUABLE	Fibroblast/CAF	NA	0.873	0.782	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP2	UniProtKB:P41181	GSE263733	GSE278688	NOT_EVALUABLE	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP2	UniProtKB:P41181	GSE263733	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP2	UniProtKB:P41181	GSE278688	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	5	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP3	UniProtKB:Q92482	GSE263733	GSE278688	Ductal (unresolved)	T/NK	6	False	Ductal (unresolved)	T/NK	False	0.496	0.999	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP3	UniProtKB:Q92482	GSE263733	GSE242230	Ductal (unresolved)	Normal epithelial (author)	5	False	T/NK	T/NK	True	0.496	0.878	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP3	UniProtKB:Q92482	GSE278688	GSE242230	T/NK	Normal epithelial (author)	5	False	T/NK	T/NK	True	0.999	0.878	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP7	UniProtKB:O14520	GSE263733	GSE278688	Endothelial	Endothelial	6	True	Endothelial	Endothelial	True	0.784	0.991	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP7	UniProtKB:O14520	GSE263733	GSE242230	Endothelial	Endothelial	5	True	Endothelial	Endothelial	True	0.784	0.379	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP7	UniProtKB:O14520	GSE278688	GSE242230	Endothelial	Endothelial	5	True	Endothelial	Endothelial	True	0.991	0.379	False	DONE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP7B	UniProtKB:A0A075B734	GSE263733	GSE278688	NOT_EVALUABLE	NOT_EVALUABLE	0	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
PDAC	AQP7B	UniProtKB:A0A075B734	GSE263733	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	0	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Strict identity labels;malignant and unresolved ductal never equated;shared-category result excludes nonshared epithelial identities
