logical_table	cohort	file	rows	sha256	logical_table_sha256
sc_celltype_profiles.tsv	GSE263733	sc_celltype_profiles_GSE263733.tsv	4809	dc35d2ba82f5334bfc0d648447779be22ae30a07097221a8c731d4fece210801	96ae93cf84fb7145f7eea547a328546fb0c94d8eadc9a22576216822e2d33041
sc_celltype_profiles.tsv	GSE278688	sc_celltype_profiles_GSE278688.tsv	6183	2b34f96337d70123663ad62f5ef15e9f1f31552b58586aaf14a47e30874b3766	96ae93cf84fb7145f7eea547a328546fb0c94d8eadc9a22576216822e2d33041
sc_celltype_profiles.tsv	GSE242230	sc_celltype_profiles_GSE242230.tsv	7557	5bd0a7ffff03ce35ba84841aad34b7105e2c7f89aa09d16569f2ca8d087b0d7a	96ae93cf84fb7145f7eea547a328546fb0c94d8eadc9a22576216822e2d33041
