cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	tissue	enrichment	technology	annotation_level	cell_type	support_set	n_cells	n_patients_ge20	detection_fraction_min	detection_fraction_q25	detection_fraction_median	detection_fraction_q75	detection_fraction_max	pseudobulk_CPM_min	pseudobulk_CPM_q25	pseudobulk_CPM_median	pseudobulk_CPM_q75	pseudobulk_CPM_max	target_UMI_min	target_UMI_q25	target_UMI_median	target_UMI_q75	target_UMI_max	library_UMI_min	library_UMI_q25	library_UMI_median	library_UMI_q75	library_UMI_max
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	23	23	median_patient_pseudobulk_CPM	1.0623329149512204	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	T cells	patients_with_at_least_20_cells	16739	23	0.0	0.0013879706704330317	0.002976190476190476	0.006364731779230308	0.014344262295081968	0.0	0.5053421782837445	1.0623329149512204	2.650979802421687	4.824246663731917	0.0	1.0	2.0	4.0	7.0	316300.0	1318537.0	1916548.0	2388525.5	4370193.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	23	23	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	T cells	patients_with_at_least_20_cells	16739	23	0.0	0.0	0.0	0.0016057968268058356	0.004576659038901602	0.0	0.0	0.0	0.4607625622368205	2.0141000430346043	0.0	0.0	0.0	1.0	6.0	316300.0	1318537.0	1916548.0	2388525.5	4370193.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	35	41	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	B	patients_with_at_least_20_cells	5366	35	0.0	0.0	0.0	0.009730692257993351	0.03409090909090909	0.0	0.0	0.0	4.326125197874521	14.156485793966505	0.0	0.0	0.0	1.5	6.0	37921.0	136849.0	231931.0	446441.5	1398392.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	35	41	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	B	patients_with_at_least_20_cells	5366	35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37921.0	136849.0	231931.0	446441.5	1398392.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	41	41	median_patient_pseudobulk_CPM	6.715324153660398	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Epi	patients_with_at_least_20_cells	54310	41	0.031746031746031744	0.07015902712815715	0.09526261585993821	0.126038104543234	0.30983412322274884	1.8787728106503874	5.0414836187989405	6.715324153660398	10.48426190890756	28.988131261109643	15.0	78.0	137.0	230.0	854.0	1988808.0	10838206.0	18111050.0	30199361.0	73536704.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	41	41	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Epi	patients_with_at_least_20_cells	54310	41	0.0	0.0	0.0	0.0	0.001990049751243781	0.0	0.0	0.0	0.0	0.1747538780943742	0.0	0.0	0.0	0.0	3.0	1988808.0	10838206.0	18111050.0	30199361.0	73536704.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	11	38	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Mast	patients_with_at_least_20_cells	478	11	0.0	0.0	0.0	0.008333333333333333	0.047619047619047616	0.0	0.0	0.0	4.655992028941647	19.553400336318486	0.0	0.0	0.0	0.5	2.0	46756.0	55514.0	68400.0	106169.5	214777.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	11	38	median_patient_pseudobulk_CPM	299.41843726607937	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Mast	patients_with_at_least_20_cells	478	11	0.17307692307692307	0.21776315789473683	0.3333333333333333	0.565180102915952	0.75	133.96246074155664	197.11533936545464	299.41843726607937	333.1878390040499	567.3502277623378	8.0	14.5	17.0	42.5	69.0	46756.0	55514.0	68400.0	106169.5	214777.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	41	41	median_patient_pseudobulk_CPM	0.8144144848502618	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Myeloid	patients_with_at_least_20_cells	8886	41	0.0	0.0	0.0036231884057971015	0.007792207792207792	0.024390243902439025	0.0	0.0	0.8144144848502618	1.449229155012449	7.792592361700967	0.0	0.0	1.0	1.0	11.0	184186.0	472226.0	746406.0	1227876.0	4267040.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	41	41	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Myeloid	patients_with_at_least_20_cells	8886	41	0.0	0.0	0.0	0.0	0.0036231884057971015	0.0	0.0	0.0	0.0	0.7044922653794184	0.0	0.0	0.0	0.0	1.0	184186.0	472226.0	746406.0	1227876.0	4267040.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	27	37	median_patient_pseudobulk_CPM	0.7551563966655314	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Plasma	patients_with_at_least_20_cells	2867	27	0.0	0.0	0.008064516129032258	0.025974512743628185	0.06451612903225806	0.0	0.0	0.7551563966655314	2.147663126698549	6.549860815457672	0.0	0.0	1.0	3.0	4.0	115752.0	403775.5	1263163.0	1633073.5	3768511.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	27	37	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Plasma	patients_with_at_least_20_cells	2867	27	0.0	0.0	0.0	0.0	0.005434782608695652	0.0	0.0	0.0	0.0	0.8183873077949209	0.0	0.0	0.0	0.0	3.0	115752.0	403775.5	1263163.0	1633073.5	3768511.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	31	39	median_patient_pseudobulk_CPM	29.050294604164105	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Strom	patients_with_at_least_20_cells	3184	31	0.057803468208092484	0.1298850574712644	0.16666666666666666	0.2045676599902296	0.31683168316831684	10.008757662955086	23.523204343788997	29.050294604164105	34.62997754050842	49.85583354799039	2.0	8.5	16.0	26.5	109.0	116042.0	332485.0	590585.0	755222.5	3144181.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	31	39	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Strom	patients_with_at_least_20_cells	3184	31	0.0	0.0	0.0	0.0	0.006493506493506494	0.0	0.0	0.0	0.0	1.2522206045387154	0.0	0.0	0.0	0.0	3.0	116042.0	332485.0	590585.0	755222.5	3144181.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	41	41	median_patient_pseudobulk_CPM	1.0992955164682714	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	TNKILC	patients_with_at_least_20_cells	22400	41	0.0	0.0	0.002770083102493075	0.006535947712418301	0.0380952380952381	0.0	0.0	1.0992955164682714	2.7915104583939323	18.000763232361052	0.0	0.0	1.0	3.0	8.0	115380.0	674511.0	941636.0	1469466.0	5459818.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	41	41	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	TNKILC	patients_with_at_least_20_cells	22400	41	0.0	0.0	0.0	0.0	0.004016064257028112	0.0	0.0	0.0	0.0	1.0300326623357228	0.0	0.0	0.0	0.0	1.0	115380.0	674511.0	941636.0	1469466.0	5459818.0
