run_accession	sample_accession	experiment_accession	sample_title	library_strategy
SRR13932936	SAMN18221691	SRX10312286	Human sample from Homo sapiens	RNA-Seq
SRR13932935	SAMN18221691	SRX10312287	Human sample from Homo sapiens	RNA-Seq
