gene	annotation_level	eligible_cell_types	highest_median_CPM_cell_type	median_CPM	median_detection	n_qualified_patients	status	reason
GSTT2B	lineage	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
GSTT2B	midway	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
GSTT2B	subtype	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
HAGH	lineage	9	Endothelial	34.872975187878154	0.23943661971830985	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
HAGH	midway	3	Stromal	21.003688911047167	0.13432835820895522	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
HAGH	subtype	26	Stromal::Endothelial	34.872975187878154	0.23943661971830985	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
HDC	lineage	9	Mast	599.4438447087684	0.6004901960784315	8	DONE	Descriptive highest median among covered types;not specificity,contribution or function
HDC	midway	3	Immune	7.969902337305035	0.012667321625936388	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
HDC	subtype	26	Immune::Mast	599.4438447087684	0.6004901960784315	8	DONE	Descriptive highest median among covered types;not specificity,contribution or function
ICMT	lineage	9	Endothelial	70.33593349397152	0.43478260869565216	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
ICMT	midway	3	Stromal	55.67641411302041	0.2937062937062937	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
ICMT	subtype	26	Stromal::Endothelial	70.33593349397152	0.43478260869565216	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
KMT5A	lineage	9	Epithelial	42.50860873020771	0.19407729468599033	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
KMT5A	midway	3	Epithelial	42.50860873020771	0.19407729468599033	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
KMT5A	subtype	26	Epithelial::Imma. Gob. 2	65.54603750793966	0.3223684210526316	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
NME6	lineage	9	Mast	28.264379603678325	0.06289556962025317	8	DONE	Descriptive highest median among covered types;not specificity,contribution or function
NME6	midway	3	Epithelial	23.734241145858395	0.12889112838724126	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
NME6	subtype	26	Epithelial::TC2	35.51114432346638	0.07142857142857142	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
NNMT	lineage	9	Fibroblast	1113.7051459934637	0.9087557603686636	10	DONE	Descriptive highest median among covered types;not specificity,contribution or function
NNMT	midway	3	Stromal	913.0931914535346	0.8583690987124464	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
