group	bin	lower	upper	n_cells
tumor_CNN	6	0.6	0.7000000000000001	24
tumor_CNN	7	0.7000000000000001	0.8	29
tumor_CNN	8	0.8	0.9	24
tumor_CNN	9	0.9	1.0	20
tumor_CNN	10	1.0	1.1	19
tumor_CNN	11	1.1	1.2000000000000002	17
tumor_CNN	12	1.2000000000000002	1.3000000000000003	12
tumor_CNN	13	1.3000000000000003	1.4000000000000001	18
tumor_CNN	14	1.4000000000000001	1.5000000000000002	16
tumor_CNN	15	1.5000000000000002	1.6	7
tumor_CNN	16	1.6	1.7000000000000002	9
tumor_CNN	17	1.7000000000000002	1.8000000000000003	8
tumor_CNN	18	1.8000000000000003	1.9000000000000001	12
tumor_CNN	19	1.9000000000000001	2.0	7
tumor_CNN	20	2.0	2.1	8
tumor_CNN	21	2.1	2.2	11
tumor_CNN	22	2.2	2.3000000000000003	6
tumor_CNN	23	2.3000000000000003	2.4000000000000004	9
tumor_CNN	24	2.4000000000000004	2.5000000000000004	2
tumor_CNN	25	2.5000000000000004	2.6	1
tumor_CNN	26	2.6	2.7	2
tumor_CNN	27	2.7	2.8000000000000003	4
tumor_CNN	28	2.8000000000000003	2.9000000000000004	0
tumor_CNN	29	2.9000000000000004	3.0000000000000004	0
tumor_CNN	30	3.0000000000000004	3.1	0
tumor_CNN	31	3.1	3.2	0
tumor_CNN	32	3.2	3.3000000000000003	0
tumor_CNN	33	3.3000000000000003	3.4000000000000004	1
tumor_CNN	34	3.4000000000000004	3.5000000000000004	0
tumor_CNN	35	3.5000000000000004	3.6	0
tumor_CNN	36	3.6	3.7	0
tumor_CNN	37	3.7	3.8000000000000003	0
tumor_CNN	38	3.8000000000000003	3.9000000000000004	0
tumor_CNN	39	3.9000000000000004	4.0	0
tumor_CNN	40	4.0	4.1	0
tumor_CNN	41	4.1	4.2	0
tumor_CNN	42	4.2	4.3	0
tumor_CNN	43	4.3	4.3999999999999995	0
tumor_CNN	44	4.3999999999999995	4.5	0
tumor_CNN	45	4.5	4.6	0
tumor_CNN	46	4.6	4.7	0
tumor_CNN	47	4.7	4.8	0
tumor_CNN	48	4.8	4.9	0
tumor_CNN	49	4.9	5.0	0
tumor_CNN	50	5.0	5.1	0
tumor_CNN	51	5.1	5.2	0
tumor_CNN	52	5.2	5.3	0
tumor_CNN	53	5.3	5.4	0
tumor_CNN	54	5.4	5.5	0
tumor_CNN	55	5.5	5.6	0
tumor_CNN	56	5.6	5.7	0
tumor_CNN	57	5.7	5.8	0
tumor_CNN	58	5.8	5.9	0
tumor_CNN	59	5.9	6.0	0
tumor_CNN	60	6.0	6.1	0
tumor_CNN	61	6.1	6.2	0
tumor_CNN	62	6.2	6.3	0
tumor_CNN	63	6.3	6.4	0
tumor_CNN	64	6.4	6.5	0
tumor_CNN	65	6.5	6.6	0
tumor_CNN	66	6.6	6.7	0
tumor_CNN	67	6.7	6.8	0
tumor_CNN	68	6.8	6.9	0
tumor_CNN	69	6.9	7.0	0
tumor_CNN	70	7.0	7.1	0
tumor_CNN	71	7.1	7.2	0
tumor_CNN	72	7.2	7.3	0
tumor_CNN	73	7.3	7.4	0
tumor_CNN	74	7.4	7.5	0
tumor_CNN	75	7.5	7.6	0
tumor_CNN	76	7.6	7.7	0
tumor_CNN	77	7.7	7.8	0
tumor_CNN	78	7.8	7.9	0
tumor_CNN	79	7.9	8.0	0
tumor_CNN	80	8.0	8.1	0
tumor_CNN	81	8.1	8.2	0
tumor_CNN	82	8.2	8.3	0
tumor_CNN	83	8.3	8.4	0
tumor_CNN	84	8.4	8.5	0
tumor_CNN	85	8.5	8.6	0
tumor_CNN	86	8.6	8.7	0
tumor_CNN	87	8.7	8.8	0
tumor_CNN	88	8.8	8.9	0
tumor_CNN	89	8.9	9.0	0
tumor_CNN	90	9.0	9.1	0
tumor_CNN	91	9.1	9.2	0
tumor_CNN	92	9.2	9.3	0
tumor_CNN	93	9.3	9.4	0
